Exercício: 2020
Escopo: Capitais
Tabela: Despesas por Função (Anexo I-E)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"Despesas Exceto Intraorçamentárias";"siconfi-cor_TotalDespesas";874885274,98
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"01 - Legislativa";"siconfi-cor_TotalDespesas";29014059,54
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"01.031 - Ação Legislativa";"siconfi-cor_TotalDespesas";29014059,54
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"03 - Essencial à Justiça";"siconfi-cor_TotalDespesas";18822895,07
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"03.092 - Representação Judicial e Extrajudicial";"siconfi-cor_TotalDespesas";18822895,07
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"04 - Administração";"siconfi-cor_TotalDespesas";82258800,45
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"04.121 - Planejamento e Orçamento";"siconfi-cor_TotalDespesas";5105576,23
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"04.122 - Administração Geral";"siconfi-cor_TotalDespesas";51592069,68
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"04.123 - Administração Financeira";"siconfi-cor_TotalDespesas";18932834,78
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"04.124 - Controle Interno";"siconfi-cor_TotalDespesas";10642,00
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"04.125 - Normatização e Fiscalização";"siconfi-cor_TotalDespesas";821047,07
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"04.126 - Tecnologia da Informação";"siconfi-cor_TotalDespesas";2696493,9
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"04.131 - Comunicação Social";"siconfi-cor_TotalDespesas";3100136,79
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"06 - Segurança Pública";"siconfi-cor_TotalDespesas";3304806,91
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"06.181 - Policiamento";"siconfi-cor_TotalDespesas";2986384,34
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"06.182 - Defesa Civil";"siconfi-cor_TotalDespesas";318422,57
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"08 - Assistência Social";"siconfi-cor_TotalDespesas";22908000,00
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"08.243 - Assistência à Criança e ao Adolescente";"siconfi-cor_TotalDespesas";4740,54
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"08.244 - Assistência Comunitária";"siconfi-cor_TotalDespesas";22584859,46
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"FU08 - Demais Subfunções";"siconfi-cor_TotalDespesas";318400,00
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"09 - Previdência Social";"siconfi-cor_TotalDespesas";45317302,34
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"09.272 - Previdência do Regime Estatutário";"siconfi-cor_TotalDespesas";45317302,34
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"10 - Saúde";"siconfi-cor_TotalDespesas";143243663,45
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"10.301 - Atenção Básica";"siconfi-cor_TotalDespesas";115938057,21
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"10.302 - Assistência Hospitalar e Ambulatorial";"siconfi-cor_TotalDespesas";4170660,00
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"10.303 - Suporte Profilático e Terapêutico";"siconfi-cor_TotalDespesas";5718290,92
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"10.305 - Vigilância Epidemiológica";"siconfi-cor_TotalDespesas";10487845,75
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"10.122 - Administração Geral";"siconfi-cor_TotalDespesas";6928809,57
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"11 - Trabalho";"siconfi-cor_TotalDespesas";2098902,29
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"11.334 - Fomento ao Trabalho";"siconfi-cor_TotalDespesas";2048902,29
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"FU11 - Demais Subfunções";"siconfi-cor_TotalDespesas";50000,00
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"12 - Educação";"siconfi-cor_TotalDespesas";161214245,99
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"12.361 - Ensino Fundamental";"siconfi-cor_TotalDespesas";52253328,97
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"12.365 - Educação Infantil";"siconfi-cor_TotalDespesas";108960917,02
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;"Despesas Empenhadas";"13 - Cultura";"siconfi-cor_TotalDespesas";6832535,8
